sentence,tags,tokens,numeric_tags
The patient was a 34-yr-old man who presented with complaints of fever and a chronic cough.,"['O', 'O', 'O', 'O', 'B-Age', 'B-Sex', 'O', 'B-Clinical_event', 'O', 'O', 'O', 'B-Sign_symptom', 'O', 'O', 'B-Detailed_description', 'B-Sign_symptom']","['the', 'patient', 'was', 'a', '34-yr-old', 'man', 'who', 'presented', 'with', 'complaints', 'of', 'fever', 'and', 'a', 'chronic', 'cough']","[0, 0, 0, 0, 1, 3, 0, 5, 0, 0, 0, 9, 0, 0, 13, 9]"
He was a smoker and had a history of pulmonary tuberculosis that had been treated and cured.,"['O', 'O', 'O', 'B-History', 'O', 'O', 'O', 'B-History', 'I-History', 'I-History', 'I-History', 'O', 'O', 'O', 'B-Lab_value', 'I-Lab_value', 'I-Lab_value']","['he', 'was', 'a', 'smoker', 'and', 'had', 'a', 'history', 'of', 'pulmonary', 'tuberculosis', 'that', 'had', 'been', 'treated', 'and', 'cured']","[0, 0, 0, 15, 0, 0, 0, 15, 16, 16, 16, 0, 0, 0, 23, 24, 24]"
A computed tomographic (CT) scan revealed multiple tiny nodules in both lungs.,"['O', 'B-Diagnostic_procedure', 'I-Diagnostic_procedure', 'O', 'O', 'O', 'B-Detailed_description', 'B-Detailed_description', 'B-Sign_symptom', 'O', 'B-Biological_structure', 'I-Biological_structure']","['a', 'computed', 'tomographic', 'ct', 'scan', 'revealed', 'multiple', 'tiny', 'nodules', 'in', 'both', 'lungs']","[0, 19, 20, 0, 0, 0, 13, 13, 9, 0, 11, 12]"
A thoracoscopic lung biopsy was taken from the right upper lobe.,"['O', 'B-Detailed_description', 'B-Biological_structure', 'B-Diagnostic_procedure', 'O', 'O', 'O', 'O', 'B-Biological_structure', 'I-Biological_structure', 'I-Biological_structure']","['a', 'thoracoscopic', 'lung', 'biopsy', 'was', 'taken', 'from', 'the', 'right', 'upper', 'lobe']","[0, 13, 11, 19, 0, 0, 0, 0, 11, 12, 12]"
The microscopic examination revealed a typical LCH.,"['O', 'B-Diagnostic_procedure', 'I-Diagnostic_procedure', 'O', 'O', 'O', 'B-Sign_symptom']","['the', 'microscopic', 'examination', 'revealed', 'a', 'typical', 'lch']","[0, 19, 20, 0, 0, 0, 9]"
"The tumor cells had vesicular and grooved nuclei, and they formed small aggregations around the bronchioles (Fig.1).","['O', 'B-Coreference', 'I-Coreference', 'O', 'B-Detailed_description', 'O', 'B-Texture', 'B-Biological_structure', 'O', 'O', 'O', 'B-Biological_attribute', 'B-Biological_attribute', 'B-Biological_structure', 'I-Biological_structure', 'I-Biological_structure', 'O']","['the', 'tumor', 'cells', 'had', 'vesicular', 'and', 'grooved', 'nuclei', 'and', 'they', 'formed', 'small', 'aggregations', 'around', 'the', 'bronchioles', 'fig1']","[0, 29, 30, 0, 13, 0, 45, 11, 0, 0, 0, 47, 47, 11, 12, 12, 0]"
"The tumor cells were strongly positive for S-100 protein, vimentin, CD68 and CD1a.","['O', 'B-Coreference', 'I-Coreference', 'O', 'B-Severity', 'B-Lab_value', 'O', 'B-Diagnostic_procedure', 'I-Diagnostic_procedure', 'B-Diagnostic_procedure', 'B-Diagnostic_procedure', 'O', 'B-Diagnostic_procedure']","['the', 'tumor', 'cells', 'were', 'strongly', 'positive', 'for', 's-100', 'protein', 'vimentin', 'cd68', 'and', 'cd1a']","[0, 29, 30, 0, 49, 23, 0, 19, 20, 19, 19, 0, 19]"
There were infiltrations of lymphocytes and eosinophils around the tumor cells.,"['O', 'O', 'B-Biological_structure', 'O', 'B-Biological_structure', 'O', 'B-Biological_structure', 'O', 'O', 'B-Coreference', 'I-Coreference']","['there', 'were', 'infiltrations', 'of', 'lymphocytes', 'and', 'eosinophils', 'around', 'the', 'tumor', 'cells']","[0, 0, 11, 0, 11, 0, 11, 0, 0, 29, 30]"
"With performing additional radiologic examinations, no other organs were thought to be involved.","['O', 'O', 'O', 'B-Diagnostic_procedure', 'I-Diagnostic_procedure', 'B-Sign_symptom', 'I-Sign_symptom', 'I-Sign_symptom', 'I-Sign_symptom', 'I-Sign_symptom', 'I-Sign_symptom', 'I-Sign_symptom', 'I-Sign_symptom']","['with', 'performing', 'additional', 'radiologic', 'examinations', 'no', 'other', 'organs', 'were', 'thought', 'to', 'be', 'involved']","[0, 0, 0, 19, 20, 9, 10, 10, 10, 10, 10, 10, 10]"
"He quit smoking, but he received no other specific treatment.","['O', 'B-Activity', 'I-Activity', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['he', 'quit', 'smoking', 'but', 'he', 'received', 'no', 'other', 'specific', 'treatment']","[0, 51, 52, 0, 0, 0, 0, 0, 0, 0]"
He was well for the following one year.,"['O', 'O', 'B-Sign_symptom', 'B-Duration', 'I-Duration', 'I-Duration', 'I-Duration', 'I-Duration']","['he', 'was', 'well', 'for', 'the', 'following', 'one', 'year']","[0, 0, 9, 37, 38, 38, 38, 38]"
"After this, a follow-up CT scan was performed and it showed a 4 cm-sized mass in the left lower lobe, in addition to the multiple tiny nodules in both lungs (Fig.2).","['O', 'O', 'O', 'O', 'B-Diagnostic_procedure', 'I-Diagnostic_procedure', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Shape', 'I-Shape', 'B-Sign_symptom', 'O', 'O', 'B-Biological_structure', 'I-Biological_structure', 'I-Biological_structure', 'O', 'O', 'O', 'O', 'B-Detailed_description', 'B-Detailed_description', 'B-Sign_symptom', 'O', 'B-Biological_structure', 'I-Biological_structure', 'O']","['after', 'this', 'a', 'follow-up', 'ct', 'scan', 'was', 'performed', 'and', 'it', 'showed', 'a', '4', 'cm-sized', 'mass', 'in', 'the', 'left', 'lower', 'lobe', 'in', 'addition', 'to', 'the', 'multiple', 'tiny', 'nodules', 'in', 'both', 'lungs', 'fig2']","[0, 0, 0, 0, 19, 20, 0, 0, 0, 0, 0, 0, 27, 28, 9, 0, 0, 11, 12, 12, 0, 0, 0, 0, 13, 13, 9, 0, 11, 12, 0]"
"A needle biopsy specimen revealed the possibility of a sarcoma; therefore, a lobectomy was performed.","['O', 'B-Detailed_description', 'B-Diagnostic_procedure', 'O', 'O', 'O', 'B-Sign_symptom', 'I-Sign_symptom', 'I-Sign_symptom', 'I-Sign_symptom', 'O', 'O', 'B-Therapeutic_procedure', 'O', 'O']","['a', 'needle', 'biopsy', 'specimen', 'revealed', 'the', 'possibility', 'of', 'a', 'sarcoma', 'therefore', 'a', 'lobectomy', 'was', 'performed']","[0, 13, 19, 0, 0, 0, 9, 10, 10, 10, 0, 0, 33, 0, 0]"
"Grossly, a 4 cm-sized poorly-circumscribed lobulated gray-white mass was found (Fig.3), and there were a few small satellite nodules around the main mass.","['O', 'O', 'B-Shape', 'I-Shape', 'B-Detailed_description', 'B-Detailed_description', 'B-Color', 'B-Sign_symptom', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Detailed_description', 'B-Detailed_description', 'B-Sign_symptom', 'O', 'O', 'B-Coreference', 'I-Coreference']","['grossly', 'a', '4', 'cm-sized', 'poorly-circumscribed', 'lobulated', 'gray-white', 'mass', 'was', 'found', 'fig3', 'and', 'there', 'were', 'a', 'few', 'small', 'satellite', 'nodules', 'around', 'the', 'main', 'mass']","[0, 0, 27, 28, 13, 13, 41, 9, 0, 0, 0, 0, 0, 0, 0, 0, 13, 13, 9, 0, 0, 29, 30]"
"Microscopically, the tumor cells were aggregated in large sheets and they showed an infiltrative growth.","['B-Diagnostic_procedure', 'O', 'B-Coreference', 'I-Coreference', 'O', 'B-Detailed_description', 'I-Detailed_description', 'I-Detailed_description', 'I-Detailed_description', 'O', 'O', 'O', 'O', 'B-Biological_structure', 'I-Biological_structure']","['microscopically', 'the', 'tumor', 'cells', 'were', 'aggregated', 'in', 'large', 'sheets', 'and', 'they', 'showed', 'an', 'infiltrative', 'growth']","[19, 0, 29, 30, 0, 13, 14, 14, 14, 0, 0, 0, 0, 11, 12]"
The cytologic features of some of the tumor cells were similar to those seen in a typical LCH.,"['O', 'B-Biological_attribute', 'I-Biological_attribute', 'O', 'O', 'O', 'O', 'B-Coreference', 'I-Coreference', 'O', 'B-Detailed_description', 'I-Detailed_description', 'I-Detailed_description', 'I-Detailed_description', 'I-Detailed_description', 'O', 'I-Detailed_description', 'I-Detailed_description']","['the', 'cytologic', 'features', 'of', 'some', 'of', 'the', 'tumor', 'cells', 'were', 'similar', 'to', 'those', 'seen', 'in', 'a', 'typical', 'lch']","[0, 47, 48, 0, 0, 0, 0, 29, 30, 0, 13, 14, 14, 14, 14, 0, 14, 14]"
"However, many tumor cells showed overtly malignant cytologic features such as pleomorphic/hyperchromatic nuclei and prominent nucleoli (Fig.4), and multinucleated tumor giant cells were also found.","['O', 'O', 'B-Coreference', 'I-Coreference', 'O', 'O', 'O', 'B-Biological_attribute', 'I-Biological_attribute', 'O', 'O', 'B-Detailed_description', 'B-Biological_structure', 'O', 'B-Detailed_description', 'B-Biological_attribute', 'O', 'O', 'B-Detailed_description', 'B-Biological_structure', 'I-Biological_structure', 'I-Biological_structure', 'O', 'O', 'O']","['however', 'many', 'tumor', 'cells', 'showed', 'overtly', 'malignant', 'cytologic', 'features', 'such', 'as', 'pleomorphic/hyperchromatic', 'nuclei', 'and', 'prominent', 'nucleoli', 'fig4', 'and', 'multinucleated', 'tumor', 'giant', 'cells', 'were', 'also', 'found']","[0, 0, 29, 30, 0, 0, 0, 47, 48, 0, 0, 13, 11, 0, 13, 47, 0, 0, 13, 11, 12, 12, 0, 0, 0]"
"There were numerous mitotic figures ranging from 30 to 60 per 10 high power fields, and some of them were abnormal.","['O', 'O', 'B-Detailed_description', 'B-Biological_structure', 'I-Biological_structure', 'O', 'O', 'B-Lab_value', 'I-Lab_value', 'I-Lab_value', 'I-Lab_value', 'I-Lab_value', 'I-Lab_value', 'I-Lab_value', 'I-Lab_value', 'O', 'B-Detailed_description', 'I-Detailed_description', 'I-Detailed_description', 'I-Detailed_description', 'I-Detailed_description']","['there', 'were', 'numerous', 'mitotic', 'figures', 'ranging', 'from', '30', 'to', '60', 'per', '10', 'high', 'power', 'fields', 'and', 'some', 'of', 'them', 'were', 'abnormal']","[0, 0, 13, 11, 12, 0, 0, 23, 24, 24, 24, 24, 24, 24, 24, 0, 13, 14, 14, 14, 14]"
A few foci of typical LCH remained around the main tumor mass.,"['O', 'B-Detailed_description', 'I-Detailed_description', 'O', 'B-Sign_symptom', 'I-Sign_symptom', 'O', 'B-Detailed_description', 'I-Detailed_description', 'I-Detailed_description', 'I-Detailed_description', 'I-Detailed_description']","['a', 'few', 'foci', 'of', 'typical', 'lch', 'remained', 'around', 'the', 'main', 'tumor', 'mass']","[0, 13, 14, 0, 9, 10, 0, 13, 14, 14, 14, 14]"
"Immunohistochemically, the tumor cells were strongly positive for S-100 protein (Fig.5) and vimentin; they were also positive for CD68 (Dako N1577, Clone KPI), and focally positive for CD1a (Fig.6), and they were negative for cytokeratin, epithelial membrane antigen, CD3, CD20 and HMB45.","['B-Diagnostic_procedure', 'O', 'O', 'O', 'O', 'B-Severity', 'B-Lab_value', 'O', 'B-Diagnostic_procedure', 'I-Diagnostic_procedure', 'O', 'O', 'B-Diagnostic_procedure', 'O', 'O', 'O', 'B-Lab_value', 'O', 'B-Diagnostic_procedure', 'O', 'O', 'O', 'O', 'O', 'B-Detailed_description', 'B-Lab_value', 'O', 'B-Diagnostic_procedure', 'O', 'O', 'O', 'O', 'B-Lab_value', 'O', 'B-Diagnostic_procedure', 'B-Diagnostic_procedure', 'I-Diagnostic_procedure', 'I-Diagnostic_procedure', 'B-Diagnostic_procedure', 'B-Diagnostic_procedure', 'O', 'B-Diagnostic_procedure']","['immunohistochemically', 'the', 'tumor', 'cells', 'were', 'strongly', 'positive', 'for', 's-100', 'protein', 'fig5', 'and', 'vimentin', 'they', 'were', 'also', 'positive', 'for', 'cd68', 'dako', 'n1577', 'clone', 'kpi', 'and', 'focally', 'positive', 'for', 'cd1a', 'fig6', 'and', 'they', 'were', 'negative', 'for', 'cytokeratin', 'epithelial', 'membrane', 'antigen', 'cd3', 'cd20', 'and', 'hmb45']","[19, 0, 0, 0, 0, 49, 23, 0, 19, 20, 0, 0, 19, 0, 0, 0, 23, 0, 19, 0, 0, 0, 0, 0, 13, 23, 0, 19, 0, 0, 0, 0, 23, 0, 19, 19, 20, 20, 19, 19, 0, 19]"
The ultrastructural analysis failed to demonstrate any Birbeck granules in the cytoplasm of the tumor cells.,"['O', 'B-Diagnostic_procedure', 'I-Diagnostic_procedure', 'B-Sign_symptom', 'I-Sign_symptom', 'I-Sign_symptom', 'I-Sign_symptom', 'I-Sign_symptom', 'I-Sign_symptom', 'O', 'O', 'B-Biological_structure', 'O', 'O', 'B-Sign_symptom', 'I-Sign_symptom']","['the', 'ultrastructural', 'analysis', 'failed', 'to', 'demonstrate', 'any', 'birbeck', 'granules', 'in', 'the', 'cytoplasm', 'of', 'the', 'tumor', 'cells']","[0, 19, 20, 9, 10, 10, 10, 10, 10, 0, 0, 11, 0, 0, 9, 10]"
"Now, at five months after lobectomy, the patient is doing well with no significant change in the radiologic findings.","['O', 'O', 'B-Date', 'I-Date', 'I-Date', 'B-Coreference', 'O', 'O', 'O', 'B-Outcome', 'I-Outcome', 'O', 'B-Sign_symptom', 'I-Sign_symptom', 'I-Sign_symptom', 'I-Sign_symptom', 'I-Sign_symptom', 'I-Sign_symptom', 'I-Sign_symptom']","['now', 'at', 'five', 'months', 'after', 'lobectomy', 'the', 'patient', 'is', 'doing', 'well', 'with', 'no', 'significant', 'change', 'in', 'the', 'radiologic', 'findings']","[0, 0, 39, 40, 40, 29, 0, 0, 0, 53, 54, 0, 9, 10, 10, 10, 10, 10, 10]"
"A 23 year old white male with a 4 year history of Crohn's disease presented with an acute two day history of malaise, fever, abdominal pain, vomiting and stomal diarrhoea.","['O', 'B-Age', 'I-Age', 'I-Age', 'B-Personal_background', 'B-Sex', 'O', 'O', 'B-History', 'I-History', 'I-History', 'I-History', 'I-History', 'I-History', 'B-Clinical_event', 'O', 'O', 'O', 'B-Duration', 'I-Duration', 'O', 'O', 'B-Sign_symptom', 'B-Sign_symptom', 'B-Biological_structure', 'B-Sign_symptom', 'B-Sign_symptom', 'O', 'B-Biological_structure', 'B-Sign_symptom']","['a', '23', 'year', 'old', 'white', 'male', 'with', 'a', '4', 'year', 'history', 'of', ""crohn's"", 'disease', 'presented', 'with', 'an', 'acute', 'two', 'day', 'history', 'of', 'malaise', 'fever', 'abdominal', 'pain', 'vomiting', 'and', 'stomal', 'diarrhoea']","[0, 1, 2, 2, 55, 3, 0, 0, 15, 16, 16, 16, 16, 16, 5, 0, 0, 0, 37, 38, 0, 0, 9, 9, 11, 9, 9, 0, 11, 9]"
"He complained of joint pains affecting the shoulders, elbows, wrists, metacarpophalangeals, knees and ankles.","['O', 'O', 'O', 'B-Biological_structure', 'B-Sign_symptom', 'O', 'O', 'B-Biological_structure', 'B-Biological_structure', 'B-Biological_structure', 'B-Biological_structure', 'B-Biological_structure', 'O', 'B-Biological_structure']","['he', 'complained', 'of', 'joint', 'pains', 'affecting', 'the', 'shoulders', 'elbows', 'wrists', 'metacarpophalangeals', 'knees', 'and', 'ankles']","[0, 0, 0, 11, 9, 0, 0, 11, 11, 11, 11, 11, 0, 11]"
"There was also a rash on the elbows, ankles and feet, which began as erythematous macules and evolved to vesico-pustular lesions followed by crusting.","['O', 'O', 'O', 'O', 'B-Sign_symptom', 'O', 'O', 'B-Biological_structure', 'B-Biological_structure', 'O', 'B-Biological_structure', 'O', 'O', 'O', 'B-Detailed_description', 'B-Sign_symptom', 'O', 'O', 'O', 'B-Detailed_description', 'B-Sign_symptom', 'O', 'O', 'B-Sign_symptom']","['there', 'was', 'also', 'a', 'rash', 'on', 'the', 'elbows', 'ankles', 'and', 'feet', 'which', 'began', 'as', 'erythematous', 'macules', 'and', 'evolved', 'to', 'vesico-pustular', 'lesions', 'followed', 'by', 'crusting']","[0, 0, 0, 0, 9, 0, 0, 11, 11, 0, 11, 0, 0, 0, 13, 9, 0, 0, 0, 13, 9, 0, 0, 9]"
There was no history of sexual exposure or any intercurrent infection.,"['O', 'O', 'B-History', 'I-History', 'I-History', 'I-History', 'I-History', 'O', 'O', 'O', 'B-Sign_symptom']","['there', 'was', 'no', 'history', 'of', 'sexual', 'exposure', 'or', 'any', 'intercurrent', 'infection']","[0, 0, 15, 16, 16, 16, 16, 0, 0, 0, 9]"
"He was on no regular medication, but had discontinued Pentasa 4 months earlier.","['O', 'O', 'O', 'B-Medication', 'I-Medication', 'I-Medication', 'O', 'O', 'O', 'B-Medication', 'B-Date', 'I-Date', 'I-Date']","['he', 'was', 'on', 'no', 'regular', 'medication', 'but', 'had', 'discontinued', 'pentasa', '4', 'months', 'earlier']","[0, 0, 0, 57, 58, 58, 0, 0, 0, 57, 39, 40, 40]"
"One month earlier he had undergone a laparotomy to excise a complex ileo-cutaneous fistula with blind tracts, and two weeks earlier a defunctioning ileostomy had been created in view of persistent abdominal pain.","['B-Date', 'I-Date', 'I-Date', 'O', 'O', 'O', 'O', 'B-Therapeutic_procedure', 'O', 'O', 'O', 'B-Detailed_description', 'B-Detailed_description', 'B-Sign_symptom', 'O', 'B-Detailed_description', 'I-Detailed_description', 'O', 'B-Date', 'I-Date', 'I-Date', 'O', 'B-Detailed_description', 'B-Therapeutic_procedure', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Detailed_description', 'B-Biological_structure', 'B-Sign_symptom']","['one', 'month', 'earlier', 'he', 'had', 'undergone', 'a', 'laparotomy', 'to', 'excise', 'a', 'complex', 'ileo-cutaneous', 'fistula', 'with', 'blind', 'tracts', 'and', 'two', 'weeks', 'earlier', 'a', 'defunctioning', 'ileostomy', 'had', 'been', 'created', 'in', 'view', 'of', 'persistent', 'abdominal', 'pain']","[39, 40, 40, 0, 0, 0, 0, 33, 0, 0, 0, 13, 13, 9, 0, 13, 14, 0, 39, 40, 40, 0, 13, 33, 0, 0, 0, 0, 0, 0, 13, 11, 9]"
"The cutaneous fistula had been present for a year, but was associated with a terminal ileal stricture and ileo-rectal fistula of at least 2 years duration.","['O', 'B-Biological_structure', 'B-Sign_symptom', 'B-Duration', 'I-Duration', 'I-Duration', 'I-Duration', 'O', 'I-Duration', 'O', 'O', 'O', 'O', 'O', 'B-Detailed_description', 'B-Biological_structure', 'B-Sign_symptom', 'O', 'B-Biological_structure', 'B-Sign_symptom', 'B-Duration', 'I-Duration', 'I-Duration', 'I-Duration', 'I-Duration', 'I-Duration']","['the', 'cutaneous', 'fistula', 'had', 'been', 'present', 'for', 'a', 'year', 'but', 'was', 'associated', 'with', 'a', 'terminal', 'ileal', 'stricture', 'and', 'ileo-rectal', 'fistula', 'of', 'at', 'least', '2', 'years', 'duration']","[0, 11, 9, 37, 38, 38, 38, 0, 38, 0, 0, 0, 0, 0, 13, 11, 9, 0, 11, 9, 37, 38, 38, 38, 38, 38]"
